date,rms,median,mean
2013-06-01 22:00:00,642.814400,7497.744909,7451.878944
2013-06-02 22:00:00,635.138623,7348.565819,7299.939599
2013-06-03 22:00:00,636.287636,7361.597049,7319.089165
2013-06-04 22:00:00,721.809138,7505.283795,7484.254369
2013-06-05 22:00:00,729.986427,7528.822023,7505.650503
2013-06-26 22:00:00,651.590643,7187.539448,7152.033266
2013-06-27 22:00:00,644.115816,7104.626379,7056.310890
2013-06-28 22:00:00,637.800877,7078.255926,7023.516273
2013-06-29 22:00:00,717.184530,7112.439638,7096.506688
2013-06-30 22:00:00,709.529931,7108.337584,7090.679886
2013-07-01 22:00:00,644.893801,7103.602696,7060.089874
2013-07-02 22:00:00,639.035425,7051.360507,7007.278701
2013-07-03 22:00:00,644.697196,7116.011882,7074.561799
2013-07-04 22:00:00,707.946093,7126.053377,7113.746027
2013-07-05 22:00:00,646.568072,7135.627244,7103.073713
2013-07-06 22:00:00,648.461748,7129.878475,7090.911881
2013-07-07 22:00:00,643.178200,7075.414642,7031.094127
2013-07-08 22:00:00,703.871708,7010.910890,7003.434198
2013-07-09 22:00:00,638.707438,7016.936199,6974.947502
2013-07-10 22:00:00,638.941026,7022.110572,6987.091009
2013-07-11 22:00:00,637.547229,7029.927654,6992.655212
2013-04-13 22:00:00,597.420683,7379.109617,7341.732445
2013-04-14 22:00:00,604.383074,7469.113643,7427.847817
2013-04-15 22:00:00,603.651753,7360.050940,7318.243561
2013-04-16 22:00:00,626.617401,7390.006436,7356.707439
2013-04-17 22:00:00,609.458201,7207.610782,7173.208457
2013-04-18 22:00:00,611.155211,7220.842716,7177.816480
2013-04-19 22:00:00,611.196890,7389.705615,7346.631122
2013-04-21 22:00:00,601.168437,7219.768359,7170.593247
2013-04-22 22:00:00,624.186159,7419.659370,7371.621754
2013-04-27 22:00:00,631.262174,7481.414707,7436.959898
2013-04-28 22:00:00,628.426040,7459.517736,7406.133901
2013-04-29 22:00:00,617.094566,7494.853606,7440.013560
2013-04-30 22:00:00,603.807868,7252.553706,7202.392704
2013-05-01 22:00:00,619.447573,7334.226024,7286.967232
2013-05-02 22:00:00,620.269654,7322.290492,7268.756940
2013-08-05 22:00:00,650.729449,6956.390318,6915.340034
2013-08-06 22:00:00,651.087951,6960.549240,6928.930707
2013-08-07 22:00:00,649.242975,6941.764043,6907.891599
2013-08-08 22:00:00,659.677089,7028.988243,6987.550069
2013-08-09 22:00:00,649.868020,6945.931008,6912.209885
2013-08-10 22:00:00,651.355884,6919.462167,6886.810522
2013-08-11 22:00:00,645.027945,6874.157717,6844.941442
2013-08-12 22:00:00,648.438994,6902.869231,6862.211512
2013-07-25 22:00:00,652.137206,7029.079692,6974.454844
