date,rms,median,mean
2013-08-01 22:00:00,84.722799,10004.791016,10001.763391
2013-08-02 22:00:00,206.852399,10005.049967,9998.251966
2013-08-03 22:00:00,2.115908,10004.662598,10004.335494
2013-08-04 22:00:00,77.660216,10004.800049,10002.035974
2013-08-05 22:00:00,38.893927,10004.612549,10003.143690
2013-08-06 22:00:00,38.904095,10005.000000,10003.489314
2013-08-07 22:00:00,34.620463,10004.755534,10003.324081
2013-08-08 22:00:00,98.954997,10004.757254,9997.626041
2013-08-09 22:00:00,2.112921,10004.562622,10004.338659
2013-08-10 22:00:00,125.225560,10004.642857,9996.103836
2013-08-11 22:00:00,62.939537,10003.500089,9998.862481
2013-08-12 22:00:00,77.653239,10005.099854,10002.261867
2013-08-26 22:00:00,2.179036,10005.033529,10004.552644
2013-08-25 22:00:00,2.179015,10003.925049,10003.507646
2013-08-24 22:00:00,193.920192,10005.583496,9980.257686
2013-08-16 22:00:00,134.396184,10003.624756,9996.040958
2013-08-15 22:00:00,543.272779,10001.400195,9845.602159
2013-08-14 22:00:00,2.234206,10004.237549,10003.902917
2012-11-10 23:00:00,152.700733,10004.725016,9980.406270
2012-11-11 23:00:00,124.100664,10003.980078,9986.254192
2012-11-12 23:00:00,72.939422,10004.936346,9998.412113
2012-11-15 23:00:00,86.029585,10004.420117,10000.182764
2012-11-17 23:00:00,175.525688,10004.366536,9994.552577
2012-11-18 23:00:00,101.464340,10003.433105,9996.981955
2012-11-19 23:00:00,300.821840,10001.349902,9900.510526
2012-11-20 23:00:00,159.386517,10002.490039,9978.055666
2012-11-21 23:00:00,227.411073,10000.725098,9979.605215
2012-11-22 23:00:00,227.273512,10000.774902,9979.609312
2012-11-23 23:00:00,260.178928,10001.599935,9959.762212
2012-12-04 23:00:00,276.787842,10002.000195,9966.465580
2012-12-05 23:00:00,160.527283,10002.619922,9989.251504
2012-12-06 23:00:00,136.899112,10003.828683,9990.350100
2012-12-07 23:00:00,122.654952,10003.428571,9992.480074
2013-09-02 22:00:00,108.195420,10004.828544,9996.276774
2012-10-15 22:00:00,43.991068,10002.108398,9999.320876
2012-10-19 22:00:00,0.000000,0.000000,0.000000
2012-10-21 22:00:00,257.763155,10003.300293,9978.264762
